Carrillo,Emily,3,5,2,1,4
Leal,Lucy,2,5,3,1,4
Nguyen,Muna,3,5,2,1,4
Memeti,Rudwan,2,3,1,5,4
Gottimukala,Amina,5,3,1,2,4
Hagen,Aisha,1,2,3,4,5
Brandl,Sergio,2,1,5,4,3
Mccarl,Rudwan,2,5,1,3,4
Saw Tamalar,Rudwan,3,2,4,1,5
Zobitz,Elliott,4,2,5,1,3
Sorensen,Zach,3,4,5,1,2
Pattanayak,Sumayyah,5,2,3,4,1
Gottimukala,Faiaz,1,4,2,5,3
Voyles,Jamila,4,3,5,1,2
Adem,Sadaq,1,2,4,3,5
Osman,Vincent,5,3,2,4,1
Larson,Erik,3,1,5,4,2
Belayneh,Amina,2,3,4,1,5
Flint,Ari,4,5,1,2,3
Lovelace,Moua,4,5,3,2,1
Ali,Faiaz,3,2,4,5,1
Ahmed,Eric,5,4,3,2,1
Ahmed,Khaalid,1,5,3,2,4
Abdi,Collin,4,1,3,5,2
Bryan,Keiran,3,5,2,1,4
Czech,Khadro,3,2,4,5,1
Mckinnon,Brian,5,1,3,4,2
Vo,Guleid,5,3,2,1,4
Belik,Kebba,4,3,1,2,5
Ng,Katelynn,3,4,2,5,1
Brandl,Brooklyn,5,2,3,4,1
Ali,Ryan,2,3,4,5,1
Xiong,Mackenzie,2,5,4,3,1
Pattanayak,Mohamud,5,4,3,1,2
Flint,Kwadwo,4,3,2,1,5
Belik,Chris,3,5,2,4,1
Davidson,Chris,5,2,1,3,4
Ochoa Martinez,Khaalid,5,3,4,2,1
Lovelace,Guleid,4,5,1,2,3
OKeefe,Karen,5,2,3,1,4
Yang,Sundus,3,5,2,1,4
Nguyen,Mohamud,4,3,2,1,5
Ellis,Amy,4,3,1,2,5
Alvarado,Emily,1,5,2,3,4
Hersi,Luke,3,2,5,4,1
Pattanayak,Anna,4,2,5,3,1
Nguyen,Jocelyn,3,1,5,2,4
Steinmetz,Brian,4,1,5,3,2
Bigwood,Myles,2,1,3,4,5
Chen,Melissa,3,4,5,1,2
Wadhawan,Chelsey,2,5,1,3,4
Adem,Hamsa,4,2,3,5,1
Adan,Ethan,5,2,4,1,3
Bigwood,Andy,5,1,2,4,3
Ahmed,Myles,2,5,3,1,4
Xiong,Angel,4,3,1,5,2
Brandl,Liban,2,3,1,5,4
Yusuf,Taha,5,1,4,3,2
Ellis,Ari,1,4,3,5,2
Mohamud,Khadro,3,2,4,5,1
Atto,Brian,1,2,4,5,3
Warns,Nikita,3,1,5,4,2
Maxmud,Nikita,3,5,2,1,4
Chen,Guleid,5,3,2,1,4
Tran,Mohamed,2,1,5,4,3
Larson,Amy,3,5,1,2,4
Sati,Andy,2,5,4,1,3
Sorensen,Leah,1,2,4,3,5
Abdi,Leah,4,5,3,2,1
OKeefe,Max,4,5,1,3,2
Mccarl,Leban,3,4,1,5,2
Xiong,Chris,2,3,5,1,4
Memeti,Kodjo,5,3,4,2,1
Haines,Thor,3,2,4,1,5
Vang,Josh,5,3,4,1,2
Czech,Brooklyn,4,5,3,1,2
Maxmud,Talib,1,3,5,2,4
