Warns,Romeo,2,4,5,3,1
Mohammad,Kevin,4,1,3,2,5
Bigwood,Khadro,4,5,3,1,2
Gottimukala,Ayden,4,2,1,3,5
Yang,Taha,1,4,3,2,5
Warns,Jeffrey,3,5,1,2,4
Pattanayak,Liban,2,4,5,1,3
Memeti,Everett,4,2,5,3,1
OKeefe,Talib,4,1,5,2,3
Yang,Adnan,1,2,3,5,4
Xiong,Keenan,3,2,5,4,1
Alvarado,Skyler,1,4,5,3,2
Carrillo,Khalid,1,5,4,2,3
Belayneh,Ceazar,4,3,2,1,5
Xiong,Kevin,2,3,4,5,1
Ramales,Lucy,3,5,2,1,4
Atto,Long,2,1,5,3,4
Hersi,Saryn,3,1,2,5,4
Yusuf,Nathan,3,4,2,5,1
Osman,Lucy,4,2,1,5,3
Wadhawan,Adnan,4,1,2,3,5
Yang,Mohamed,5,2,4,1,3
Ahmed,Najma,3,1,5,4,2
Mensah,Jocelyn,2,4,3,5,1
Ellis,Ryan,1,2,3,5,4
Alvarado,Aisha,3,2,4,1,5
Flint,Mohamed,5,2,1,3,4
Wadhawan,Amaal,5,1,4,3,2
Averbeck,Brian,4,5,3,2,1
Warns,Jocelyn,3,2,5,1,4
Belayneh,Vivika,4,2,1,3,5
Torres,Matt,3,5,4,1,2
Abukar,Nikita,3,1,2,4,5
Atukorala,Karen,3,4,1,2,5
Crowe,Ryan,1,3,5,4,2
Carrillo,Linus,1,2,5,3,4
Xiong,Matt,4,1,2,3,5
Vang,Anna,1,5,4,3,2
Atto,Katie,4,3,2,5,1
Ahmed,Justin,1,3,5,4,2
Wadhawan,Katelynn,4,1,3,5,2
Lee,Kwadwo,4,1,5,2,3
Chafee,Amy,3,2,4,1,5
Mohammad,Brooklyn,4,3,5,2,1
Klassin,Luke,1,4,5,2,3
Ng,Amy,1,4,3,2,5
Vo,Alinase,2,3,5,1,4
Ochoa Martinez,Miguel,3,1,2,5,4
Yusuf,Tenley,2,3,4,5,1
Beeby,Elliott,2,4,1,5,3
